IDs         length   Exptl.  resolution  R-factor FreeRvalue
4OSNA       129      XRAY        1.760    0.20    0.23
5UC0A       163      XRAY        1.730    0.18    0.21
3GFAA       198      XRAY        1.350    0.14    0.16
3OQPA       211      XRAY        1.220    0.14    0.17
3Q23A      1118      XRAY        1.800    0.20    0.23
2ID3A       225      XRAY        1.700    0.17    0.20
1IKTA       120      XRAY        1.750    0.19    0.21
4PLZA       322      XRAY        1.050    0.13    0.15
3L32A        45      XRAY        1.500    0.20    0.23
1DVOA       152      XRAY        2.000    0.20    0.22
2XNQA        97      XRAY        1.300    0.18    0.19
4Z8NA       298      XRAY        2.120    0.20    0.23
2PPQA       322      XRAY        2.000    0.19    0.23
4FD9A        92      XRAY        1.860    0.14    0.18
5IL3A       550      XRAY        1.850    0.17    0.19
3E05A       204      XRAY        1.800    0.22    0.26
1TUVA       114      XRAY        1.700    0.21    0.25
3B9OA       440      XRAY        1.900    0.20    0.21
2PETA       231      XRAY        1.700    0.17    0.21
3C6AA       232      XRAY        1.160    0.13    0.17
1LUCA       355      XRAY        1.500    0.18    1.00
3DWGC        93      XRAY        1.530    0.18    0.22
5T4MA       365      XRAY        2.240    0.19    0.22
2QDLA       165      XRAY        2.200    0.20    0.23
3U4GA       337      XRAY        1.900    0.17    0.22
3MCZA       352      XRAY        1.900    0.15    0.19
3U28A       400      XRAY        1.900    0.20    0.23
4W6UA       231      XRAY        2.280    0.21    0.25
4FQDA       479      XRAY        2.500    0.20    0.23
3QVOA       236      XRAY        2.300    0.22    0.25
2R1FA       270      XRAY        2.210    0.22    0.26
2DULA       378      XRAY        1.900    0.20    0.23
3AOTA       227      XRAY        2.200    0.23    0.26
3QUFA       414      XRAY        1.700    0.15    0.18
2FNUA       375      XRAY        1.500    0.15    0.18
1J3MA       129      XRAY        2.000    0.20    0.26
2GDMA       153      XRAY        1.700    0.16    1.00
3GR3A       230      XRAY        1.450    0.15    0.17
3POWA       265      XRAY        1.550    0.18    0.19
2PHPA       192      XRAY        2.030    0.22    0.24
1D8WA       426      XRAY        1.600    0.18    0.24
2PQ7A       220      XRAY        1.450    0.18    0.19
3TMAA       354      XRAY        2.050    0.16    0.21
3FDUA       266      XRAY        2.000    0.23    0.28
2YJGA       436      XRAY        1.800    0.18    0.23
4WBEA       120      XRAY        2.050    0.20    0.23
1SX5A       244      XRAY        1.500    0.21    0.25
4NBPA       132      XRAY        1.310    0.15    0.18
3R8YA       240      XRAY        1.700    0.19    0.22
4H5IA       365      XRAY        1.360    0.18    0.20
3GO2A       409      XRAY        1.700    0.15    0.18
4INKA       205      XRAY        1.560    0.18    0.21
4BQYA       252      XRAY        1.530    0.21    0.23
4UQWA       163      XRAY        1.500    0.16    0.18
5F76A       320      XRAY        1.950    0.17    0.19
4JNDA       454      XRAY        1.650    0.18    0.20
5B3DA       140      XRAY        2.300    0.21    0.24
4E5XG       100      XRAY        1.950    0.22    0.24
2VZYA       218      XRAY        2.000    0.17    0.20
4XZFA       122      XRAY        1.380    0.17    0.21
5ENQA       609      XRAY        1.800    0.18    0.22
2MPRA       427      XRAY        2.400    0.19    0.22
4YMRA       144      XRAY        2.400    0.23    0.27
3T0HA       228      XRAY        1.200    0.15    0.17
1DZ3A       130      XRAY        1.650    0.23    0.27
3MMYA       368      XRAY        1.650    0.21    0.24
5IQNA       132      XRAY        1.000    0.12    0.15
1YB3A       175      XRAY        1.600    0.20    0.23
4MXTA       190      XRAY        1.400    0.14    0.17
4MVEA       151      XRAY        2.110    0.18    0.20
3U52A       511      XRAY        1.950    0.18    0.23
3OG6A       196      XRAY        2.100    0.18    0.23
3JRNA       176      XRAY        2.000    0.17    0.21
4JGIA       211      XRAY        1.500    0.15    0.19
3RLFF       514      XRAY        2.200    0.23    0.25
5EFRA       446      XRAY        2.000    0.21    0.23
4P98A       317      XRAY        1.900    0.16    0.20
2X9KA       280      XRAY        2.180    0.21    0.25
2QU8A       228      XRAY        2.010    0.23    0.26
2QZUA       491      XRAY        1.700    0.20    0.22
3EWIA       168      XRAY        1.900    0.21    0.25
4NUZA       899      XRAY        1.910    0.19    0.23
1IUJA       106      XRAY        1.600    0.23    0.26
2VZCA       131      XRAY        1.050    0.14    0.16
2Q40A       367      XRAY        1.700    0.17    0.22
3GWLA       106      XRAY        2.100    0.22    0.26
4ZV0A       163      XRAY        1.400    0.15    0.16
2X46A       144      XRAY        1.000    0.14    0.16
3W20A       273      XRAY        1.770    0.21    0.24
2QRLA       394      XRAY        1.600    0.21    0.24
5TGFA       339      XRAY        1.810    0.15    0.19
3EIPA        84      XRAY        1.800    0.22    0.27
3MWBA       313      XRAY        2.000    0.21    0.25
5KP7A       443      XRAY        1.600    0.15    0.17
4TZMA       253      XRAY        2.300    0.20    0.22
2BW3A       534      XRAY        2.000    0.18    0.21
5HRRA       164      XRAY        1.880    0.20    0.23
3LY0A       364      XRAY        1.400    0.17    0.19
4KK7A       395      XRAY        1.680    0.18    0.21
4PDYA       351      XRAY        1.350    0.13    0.17
4X8QA       210      XRAY        1.730    0.15    0.17
5I2LA       120      XRAY        1.850    0.17    0.21
3SJMA        64      XRAY        1.350    0.17    0.21
3DOEB       165      XRAY        2.250    0.23    0.26
5JRCA       219      XRAY        1.900    0.21    0.23
1QSAA       618      XRAY        1.650    0.17    0.19
3U9JA       160      XRAY        1.600    0.17    0.22
4O6AA       362      XRAY        1.860    0.19    0.22
5DCQD       271      XRAY        1.830    0.17    0.20
3CTZA       623      XRAY        1.600    0.16    0.20
5DJ1A       376      XRAY        2.100    0.14    0.17
3KHTA       144      XRAY        2.100    0.23    0.29
3BHNA       236      XRAY        1.760    0.16    0.19
5ELBA       103      XRAY        1.080    0.12    0.15
2I6EA       301      XRAY        2.500    0.20    0.23
3D7AA       138      XRAY        1.900    0.24    0.28
4NEOA        93      XRAY        2.100    0.18    0.20
3JURA       448      XRAY        2.050    0.18    0.22
5KY4B        40      XRAY        1.470    0.15    0.17
5B7EA       526      XRAY        1.420    0.16    0.18
4LY4A       326      XRAY        2.200    0.17    0.21
2PGWA       384      XRAY        1.950    0.20    0.21
2II1A       301      XRAY        1.950    0.18    0.23
2VTCA       249      XRAY        1.600    0.20    0.22
1JMKC       230      XRAY        1.710    0.23    0.24
5FHKA       207      XRAY        1.910    0.21    0.25
5EMIA       180      XRAY        1.120    0.14    0.15
4RK1A       280      XRAY        1.900    0.16    0.19
3IV4A       112      XRAY        1.500    0.15    0.19
3O3MA       408      XRAY        1.820    0.17    0.22
4X9ZA        50      XRAY        1.500    0.18    0.22
4PS6A       130      XRAY        1.250    0.12    0.16
2E9XA       149      XRAY        2.300    0.20    0.23
5E56A       117      XRAY        1.500    0.18    0.20
3T9WA       299      XRAY        1.500    0.17    0.20
3QNMA       240      XRAY        1.700    0.17    0.20
4N82A       178      XRAY        1.880    0.21    0.24
4A7UA       153      XRAY        0.980    0.14    0.15
2O70A       174      XRAY        1.800    0.20    0.24
5AJJA       168      XRAY        1.750    0.17    0.21
1T1UA       639      XRAY        1.550    0.17    0.23
5KAYA       201      XRAY        1.800    0.20    0.23
3RY4A       170      XRAY        1.500    0.20    0.23
1PYAA        81      XRAY        2.500    0.15    1.00
5GVJA       314      XRAY        1.900    0.18    0.21
5I20A       298      XRAY        2.400    0.23    0.25
3AQEA        91      XRAY        2.000    0.23    0.28
2WOLA       562      XRAY        1.450    0.19    0.20
3E9TA       114      XRAY        1.600    0.19    0.22
3ZK4A       571      XRAY        1.650    0.15    0.17
3OM0A       393      XRAY        1.400    0.18    0.20
5M86A       333      XRAY        2.400    0.18    0.20
5M5EC       259      XRAY        2.300    0.20    0.23
2YK4A       327      XRAY        1.940    0.20    0.22
1RKQA       282      XRAY        1.400    0.18    0.21
2E4MC       146      XRAY        1.850    0.20    0.23
3HOIA       193      XRAY        1.550    0.16    0.19
5KLAA       337      XRAY        1.140    0.16    0.17
4YBBAM      114      XRAY        2.100    0.22    0.23
3B0XA       575      XRAY        1.360    0.17    0.20
4NJ6A        95      XRAY        2.400    0.21    0.27
4JNHA       199      XRAY        2.400    0.17    0.23
4IKGA        81      XRAY        1.930    0.29    0.31
1ESCA       306      XRAY        2.100    0.17    1.00
1UCSA        64      XRAY        0.620    0.14    0.15
4P0FA       393      XRAY        1.700    0.17    0.19
3Q64A       162      XRAY        1.500    0.18    0.20
3BNJA       485      XRAY        1.300    0.18    0.21
3DWOX       451      XRAY        2.200    0.21    0.25
1QKSA       567      XRAY        1.280    0.18    0.20
3QHPA       166      XRAY        1.500    0.20    0.23
4TSEA       174      XRAY        2.060    0.19    0.23
5MTJB        98      XRAY        1.950    0.19    0.22
1SG6A       393      XRAY        1.700    0.25    0.25
4L1JA       204      XRAY        1.820    0.18    0.20
1L4DB       122      XRAY        2.300    0.21    0.26
2ZSIB       110      XRAY        1.800    0.20    0.22
2B9DA        52      XRAY        1.600    0.21    0.25
5A8UA       253      XRAY        1.610    0.16    0.20
1CC8A        73      XRAY        1.020    0.14    0.17
2YZSA       315      XRAY        2.000    0.22    0.25
1DPGA       485      XRAY        2.000    0.21    0.26
2XI7A       184      XRAY        2.200    0.19    0.22
2YKTA       253      XRAY        2.110    0.24    0.28
3MWDB       334      XRAY        2.100    0.19    0.23
3OT9A       399      XRAY        1.750    0.16    0.19
4F27A       363      XRAY        1.920    0.19    0.23
5EC0A       388      XRAY        2.200    0.17    0.23
3GP6A       163      XRAY        1.400    0.17    0.21
1QYSA       106      XRAY        2.500    0.27    0.29
2W53A       219      XRAY        2.000    0.20    0.24
2CZSA        80      XRAY        1.500    0.22    0.27
5MZWB       248      XRAY        1.520    0.14    0.16
1FAOA       126      XRAY        1.800    0.22    0.23
2XQQA        89      XRAY        1.310    0.12    0.16
3K6JA       460      XRAY        2.200    0.21    0.27
1MHQA       148      XRAY        2.200    0.22    0.27
4ZP0A       392      XRAY        2.000    0.21    0.23
5EQJA       488      XRAY        2.200    0.18    0.21
4WW7B       187      XRAY        1.670    0.19    0.21
2AAMA       309      XRAY        2.200    0.22    0.24
1SFEA       180      XRAY        2.100    0.22    1.00
1YT3A       375      XRAY        1.600    0.20    0.22
2R2ZA        93      XRAY        1.200    0.15    0.17
3AU4A       555      XRAY        1.900    0.21    0.23
4YTLA        99      XRAY        1.600    0.19    0.20
3BPZA       202      XRAY        1.650    0.19    0.22
1TU1A       148      XRAY        1.950    0.20    0.24
4M70A       126      XRAY        2.100    0.25    0.28
1SLUA       142      XRAY        1.800    0.19    0.28
3FWZA       140      XRAY        1.790    0.17    0.20
2WWXB       217      XRAY        1.500    0.21    0.23
3O63A       243      XRAY        2.350    0.21    0.26
2B99A       156      XRAY        2.220    0.26    0.30
1GO4E       100      XRAY        2.050    0.24    0.27
4BH5A       142      XRAY        1.570    0.17    0.21
3IP3A       337      XRAY        2.140    0.21    0.24
2QRDA       137      XRAY        2.410    0.20    0.26
1YB0A       159      XRAY        1.860    0.21    0.24
4E6WA       335      XRAY        2.190    0.20    0.24
3F1TA       148      XRAY        2.200    0.22    0.25
3W56A       131      XRAY        1.600    0.21    0.25
3I7AA       281      XRAY        2.060    0.19    0.24
2ZYRA       484      XRAY        1.770    0.18    0.21
4QHQA       241      XRAY        1.400    0.17    0.20
5PHLA       364      XRAY        1.140    0.15    0.18
5TVME       325      XRAY        2.410    0.23    0.27
1AC5A       483      XRAY        2.400    0.20    0.25
1AYOA       130      XRAY        1.900    0.20    0.24
2NSFA       261      XRAY        1.750    0.23    0.23
2Q30A       110      XRAY        1.940    0.17    0.21
1R77A       103      XRAY        1.750    0.20    0.23
5LVOA       311      XRAY        1.090    0.14    0.16
2XAPA       761      XRAY        2.100    0.20    0.23
4FQNA        98      XRAY        1.900    0.18    0.22
4ZB3A       310      XRAY        2.300    0.20    0.23
3W61A       108      XRAY        1.590    0.18    0.21
5EWUA       388      XRAY        1.250    0.17    0.18
2YLEA       229      XRAY        1.800    0.19    0.24
5T5XA       491      XRAY        1.840    0.17    0.23
2F5TX       233      XRAY        1.450    0.16    0.20
3UMHA       211      XRAY        2.000    0.21    0.24
4LQKA       143      XRAY        1.990    0.20    0.22
3NPHB       148      XRAY        1.850    0.20    0.23
4CU4A       706      XRAY        2.300    0.21    0.26
3K8TA       888      XRAY        2.100    0.25    0.29
1UFIA        64      XRAY        1.650    0.24    0.31
4C47A       207      XRAY        2.450    0.21    0.24
2ZKMX       799      XRAY        1.620    0.20    0.21
2HLJA       157      XRAY        2.000    0.17    0.23
3COVA       301      XRAY        1.500    0.17    0.20
1RIFA       282      XRAY        2.000    0.22    0.25
4YPOA       333      XRAY        1.000    0.15    0.16
3DO8A       148      XRAY        1.600    0.17    0.21
1UEKA       275      XRAY        1.700    0.18    0.22
1VLAA       150      XRAY        1.800    0.17    0.22
4ETRA       153      XRAY        2.250    0.22    0.28
4FVDA       152      XRAY        1.660    0.19    0.23
4JGPA       217      XRAY        2.030    0.18    0.22
4MZ7A       539      XRAY        1.800    0.20    0.23
1P57A       114      XRAY        1.750    0.19    0.21
3DUWA       223      XRAY        1.200    0.22    0.23
4JZ5A       223      XRAY        1.100    0.14    0.14
3MDPA       142      XRAY        1.900    0.18    0.23
3PE7A       388      XRAY        1.650    0.18    0.21
1TAFB        70      XRAY        2.000    0.20    0.24
3FPNA       119      XRAY        1.800    0.23    0.25
3F2EA       100      XRAY        1.670    0.18    0.20
4Y6WA       229      XRAY        1.590    0.18    0.20
1WMHB        86      XRAY        1.500    0.22    0.22
4OX0A       104      XRAY        2.490    0.23    0.27
1VKHA       273      XRAY        1.850    0.14    0.19
1T4WA       196      XRAY        2.100    0.24    0.23
4XZ7A       399      XRAY        2.100    0.19    0.24
1VK1A       242      XRAY        1.200    0.17    0.17
5HDWA       133      XRAY        2.000    0.20    0.24
2I7HA       189      XRAY        2.300    0.18    0.21
5K0PA       109      XRAY        1.940    0.16    0.24
1ZPVA        91      XRAY        1.900    0.19    0.24
2WAAA       347      XRAY        1.800    0.16    0.18
3LLVA       141      XRAY        1.700    0.21    0.23
4L2WA        87      XRAY        2.490    0.24    0.28
2FAOA       309      XRAY        1.500    0.21    0.21
1XQOA       256      XRAY        1.030    0.16    0.18
2WB0X       356      XRAY        1.950    0.19    0.24
4ZJHA       208      XRAY        1.600    0.18    0.22
5IPXA       324      XRAY        2.400    0.21    0.25
4PAGA       324      XRAY        1.900    0.14    0.20
2XPPA       145      XRAY        1.740    0.20    0.23
4N0NA       423      XRAY        2.000    0.20    0.22
3G5JA       134      XRAY        1.760    0.17    0.20
5CHXA       214      XRAY        2.300    0.21    0.27
3EEHA       125      XRAY        1.950    0.18    0.20
1JU2A       536      XRAY        1.470    0.16    0.19
4XUOA       159      XRAY        1.700    0.21    0.25
1L9XA       315      XRAY        1.600    0.18    0.20
4DWDA       393      XRAY        1.500    0.14    0.17
3UEBA       110      XRAY        1.980    0.21    0.25
3T94A       270      XRAY        1.450    0.17    0.18
3HA4A       154      XRAY        2.400    0.21    0.26
4RI5A       306      XRAY        1.260    0.16    0.17
4N2PA       143      XRAY        1.440    0.14    0.18
1K3RA       268      XRAY        2.300    0.24    0.28
3IFNP        40      XRAY        1.500    0.19    0.21
1HR6A       475      XRAY        2.500    0.24    0.28
3I7UA       134      XRAY        1.800    0.20    0.24
5FVKA        82      XRAY        1.660    0.19    0.22
3OE3A        98      XRAY        1.510    0.21    0.24
5IZ5A       814      XRAY        2.200    0.22    0.24
3E0EA        97      XRAY        1.600    0.23    0.27
3IJDA       315      XRAY        2.000    0.22    0.27
1GPRA       162      XRAY        1.900    0.16    1.00
1FTRA       296      XRAY        1.700    0.20    0.25
3KVPA        72      XRAY        2.400    0.20    0.24
3FNRA       464      XRAY        2.200    0.21    0.26
3IA1A       154      XRAY        1.760    0.16    0.20
1TW9A       206      XRAY        1.710    0.18    0.23
3ITQA       216      XRAY        1.400    0.20    0.21
5JAZA       422      XRAY        1.400    0.19    0.21
1EAYC        74      XRAY        2.000    0.22    1.00
2BS2C       256      XRAY        1.780    0.23    0.24
1IBYA       112      XRAY        1.650    0.19    0.22
1G4WR       383      XRAY        2.200    0.26    0.31
3WA1A       389      XRAY        1.750    0.17    0.21
2ZHJA       322      XRAY        1.350    0.14    0.20
3N3YA       216      XRAY        2.310    0.18    0.22
2PW6A       271      XRAY        2.270    0.24    0.27
3BHQA       211      XRAY        1.540    0.17    0.19
5FKTA       733      XRAY        1.520    0.17    0.19
4P8BA       342      XRAY        1.300    0.15    0.17
2FNOA       248      XRAY        2.000    0.18    0.22
3PPLA       427      XRAY        1.250    0.11    0.12
2NYXA       168      XRAY        2.300    0.23    0.27
4Q51A       281      XRAY        1.900    0.16    0.21
1B3TA       147      XRAY        2.200    0.21    0.27
2HRAA       209      XRAY        1.900    0.22    0.26
1YOXA       250      XRAY        2.300    0.23    0.28
4OWKA       138      XRAY        2.000    0.16    0.19
2CIBA       455      XRAY        1.500    0.20    0.23
5ITZD       129      XRAY        2.200    0.18    0.22
3HWJA       172      XRAY        2.250    0.20    0.26
3SHGA       205      XRAY        1.500    0.18    0.21
1IGNA       246      XRAY        2.250    0.22    0.29
4LZKA       187      XRAY        1.890    0.18    0.21
4AEEA       696      XRAY        2.280    0.19    0.24
2IA7A       134      XRAY        1.440    0.17    0.20
3QVPA       583      XRAY        1.200    0.18    0.19
5HQWA       336      XRAY        2.390    0.21    0.24
3FD5A       394      XRAY        1.900    0.14    0.20
5KX4A       101      XRAY        1.940    0.17    0.19
3CG6A       146      XRAY        1.700    0.23    0.27
3MQHA       192      XRAY        1.430    0.18    0.21
3FFVA       181      XRAY        2.000    0.18    0.23
4EVYA       166      XRAY        1.770    0.17    0.21
3BGYA       237      XRAY        1.650    0.18    0.21
3V75A       301      XRAY        1.400    0.15    0.17
3G9WC        52      XRAY        2.170    0.21    0.25
4UHTA       102      XRAY        1.150    0.13    0.16
5FAIA       232      XRAY        1.800    0.17    0.18
1OTKA       249      XRAY        2.000    0.19    0.23
5B19A       232      XRAY        1.850    0.24    0.27
1DS1A       324      XRAY        1.080    0.14    0.17
5BZ0A       313      XRAY        2.100    0.19    0.23
2HUJA       140      XRAY        1.740    0.17    0.21
3GNEA       252      XRAY        1.200    0.13    0.18
3EGEA       261      XRAY        2.400    0.18    0.20
5A1NB       240      XRAY        2.100    0.20    0.23
3LO8A       311      XRAY        1.050    0.12    0.15
4R60A       400      XRAY        1.830    0.18    0.21
3FLDA       153      XRAY        2.400    0.22    0.26
2NZLA       392      XRAY        1.350    0.13    0.15
4Z3XA       653      XRAY        1.850    0.19    0.23
3LKBA       392      XRAY        2.400    0.18    0.24
4KEFA       143      XRAY        1.100    0.13    0.14
2QTSA       438      XRAY        1.900    0.21    0.23
5IR4A       688      XRAY        1.480    0.14    0.15
2OA2A       148      XRAY        1.410    0.17    0.19
3NVQA       590      XRAY        2.400    0.25    0.28
